,state,date,hashtags
2,KY,7/25/2020,['COVID19']
6,FL,7/25/2020,"['COVID19', 'Recruiting']"
27,NY,7/25/2020,['COVID19']
32,FL,7/25/2020,"['covid19', 'Africa']"
38,UK,7/25/2020,"['BorisJohnson', '5COBRA', 'Five']"
56,NY,7/25/2020,['COVID19']
57,LA,7/25/2020,['covid19']
64,GA,7/25/2020,"['COVID19', 'Coronavirus']"
67,NY,7/25/2020,['COVID19']
71,CO,7/25/2020,"['etsy', 'epiconetsy', 'masksforsale']"
77,DC,7/25/2020,['COVID19']
91,UK,7/25/2020,['COVID19']
104,NY,7/25/2020,"['FoxNews', 'COVID19', 'WaltDisneyWorld']"
107,NY,7/25/2020,"['coronavirus', 'COVID19', 'Hispanic', 'Latinx']"
115,FL,7/25/2020,['COVID19']
131,NY,7/25/2020,['COVID19']
159,FL,7/25/2020,['AR']
169,NY,7/25/2020,"['wearamask', 'covid', 'covid19']"
180,IL,7/25/2020,"['airlines', 'coronavirus']"
184,FL,7/25/2020,"['COVID19', 'COVID19', 'FakeNews', 'Democrats']"
214,MA,7/25/2020,['COVID19']
231,MI,7/25/2020,['Manufacturing']
236,TX,7/25/2020,['covid19']
237,MA,7/25/2020,['COVID19']
238,DC,7/25/2020,"['COVID19', 'TestingWhileBlack']"
244,WI,7/25/2020,"['masks', 'COVID19']"
250,IL,7/25/2020,"['WakeUp', 'COVID19', 'Fake', 'Plandemic', 'Exosomes', 'VirusTheory', '5G', 'Virus', 'SayNoToBillGates']"
253,IN,7/25/2020,"['COVID19', 'InThisTogether']"
255,OH,7/25/2020,"['MedBikini', 'COVID19']"
257,NJ,7/25/2020,"['homeschooling', 'COVID19', 'coronavirus', 'NC']"
260,MO,7/25/2020,['COVID19']
261,NY,7/25/2020,['COVID19']
267,MO,7/25/2020,"['COVID19', 'Stimulus']"
268,OK,7/25/2020,"['facecoveringmandate', 'COVID19']"
272,FL,7/25/2020,['COVID19']
302,NY,7/25/2020,['COVID19']
315,TX,7/25/2020,['COVID19']
335,NC,7/25/2020,['COVID19']
337,MD,7/25/2020,"['Annapolis', 'COVID19']"
355,DC,7/25/2020,"['EssentialSurgery', 'COVID19']"
357,NY,7/25/2020,['COVID19']
403,OH,7/25/2020,['COVID19']
416,NY,7/25/2020,['COVID19']
436,NY,7/25/2020,"['berkleyforum', 'covid19']"
439,FL,7/25/2020,"['Coronavirus', 'Andorra', 'COVID19']"
450,NJ,7/25/2020,"['COVID19', 'theyhavenoidea']"
455,MA,7/25/2020,"['BlueWave2020', 'COVID19']"
463,NC,7/25/2020,"['WWE', 'WrestleMania', 'COVID19', 'Coronavirus']"
471,IL,7/25/2020,"['airlines', 'coronavirus', 'covid19', 'Mask']"
475,FL,7/25/2020,"['Audubon', 'SaturdayMorning', 'SaturdayVibes', 'COVID19', 'SaturdayThoughts', 'SaturdayMotivation', 'free']"
476,VA,7/25/2020,"['OrangeBaboon', 'COVID19']"
511,MO,7/25/2020,['COVID19']
530,NC,7/25/2020,"['local', 'COVID19', 'SupportSmallBusinesses']"
531,FL,7/25/2020,['COVID19']
533,VA,7/25/2020,"['fire', 'PPE', 'COVID19']"
553,MO,7/25/2020,['COVID19']
569,MI,7/25/2020,['COVID19']
587,UK,7/25/2020,['COVID19']
595,NY,7/25/2020,['COVID19']
607,TN,7/25/2020,['COVID19']
612,FL,7/25/2020,"['COVID19', 'coronavirus']"
636,IL,7/25/2020,['COVID19']
642,DC,7/25/2020,"['coronavirus', 'COVID19', 'frontlineworkers']"
670,CA,7/25/2020,['COVID19']
696,UK,7/25/2020,['COVID19']
709,NY,7/25/2020,"['COVID19', 'CovidHoax', 'Science']"
720,NC,7/25/2020,"['WearADamnMask', 'COVID19', 'coronavirus']"
721,TX,7/25/2020,['COVID19']
732,FL,7/25/2020,"['COVID19', 'Recruiting']"
746,VA,7/25/2020,"['coronavirus', 'COVID19']"
753,NY,7/25/2020,['COVID19']
773,UK,7/25/2020,"['Handwashing', 'WearAMask', 'Socialdistancing']"
774,DC,7/25/2020,['COVID19']
794,MA,7/25/2020,['COVID19']
