date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
8/13/2020,Alabama,1,105557,1890,101496,1821,4061,69
8/13/2020,Alaska,2,4748,25,4748,25,0,0
8/13/2020,Arizona,4,190823,4385,,,,
8/13/2020,Arkansas,5,51766,582,51766,582,0,0
8/13/2020,California,6,600291,10868,600291,10868,0,0
8/13/2020,Colorado,8,51894,1881,,,,
8/13/2020,Connecticut,9,50782,4450,,,,
8/13/2020,Delaware,10,15967,593,,,,
8/13/2020,District of Columbia,11,13024,594,13024,594,0,0
8/13/2020,Florida,12,557129,8912,0,8912,557129,0
8/13/2020,Georgia,13,212009,4440,212009,4440,0,0
8/13/2020,Guam,66,1446,6,1438,6,8,0
8/13/2020,Hawaii,15,4289,39,,,,
8/13/2020,Idaho,16,26296,251,24504,221,1792,30
8/13/2020,Illinois,17,202530,7928,201230,7718,1300,210
8/13/2020,Indiana,18,79404,3105,77565,2898,1839,207
8/13/2020,Iowa,19,50336,959,50336,959,0,0
8/13/2020,Kansas,20,33037,403,,,,
8/13/2020,Kentucky,21,39239,814,,,,
8/13/2020,Louisiana,22,135562,4402,135439,4279,123,123
8/13/2020,Maine,23,4089,126,3679,126,410,0
8/13/2020,Maryland,24,98728,3620,98616,3489,112,131
8/13/2020,Massachusetts,25,122000,8769,113198,8547,8802,222
8/13/2020,Michigan,26,99963,6556,90293,6290,9670,266
8/13/2020,Minnesota,27,63039,1731,62993,1685,46,46
8/13/2020,Mississippi,28,69986,2011,68430,1942,1556,69
8/13/2020,Missouri,29,64312,1411,64238,1410,74,1
8/13/2020,Montana,30,5430,81,5426,81,4,0
8/13/2020,Nebraska,31,29312,361,29312,361,0,0
8/13/2020,Nevada,32,58657,1030,58650,1030,7,0
8/13/2020,New Hampshire,33,6921,422,6921,422,0,0
8/13/2020,New Jersey,34,188433,15893,186594,14054,1839,1839
8/13/2020,New Mexico,35,22816,695,22816,695,0,0
8/13/2020,New York,36,428155,32399,423524,27768,4631,4631
8/13/2020,North Carolina,37,140985,2313,140985,2313,0,0
8/13/2020,North Dakota,38,8175,124,8171,120,4,4
8/13/2020,Northern Mariana Islands,69,49,2,49,2,0,0
8/13/2020,Ohio,39,105426,3755,,,,
8/13/2020,Oklahoma,40,46101,638,46101,638,0,0
8/13/2020,Oregon,41,22186,384,21438,193,748,191
8/13/2020,Pennsylvania,42,126950,7474,,,,
8/13/2020,Puerto Rico,72,24446,306,10279,182,14167,124
8/13/2020,Rhode Island,44,20240,1019,20240,1019,0,0
8/13/2020,South Carolina,45,103909,2186,103051,2089,858,97
8/13/2020,South Dakota,46,9897,148,9895,,2,
8/13/2020,Tennessee,47,125487,1300,123453,618,2034,682
8/13/2020,Texas,48,534333,9835,517691,7041,16642,2794
8/13/2020,Utah,49,45536,358,27658,219,17878,139
8/13/2020,Vermont,50,1484,58,1484,58,0,0
8/13/2020,Virginia,51,103622,2363,,,,
8/13/2020,Virgin Islands,78,682,9,682,9,0,0
8/13/2020,Washington,53,67471,1790,65668,1717,1803,73
8/13/2020,West Virginia,54,8151,153,7985,152,166,1
8/13/2020,Wisconsin,55,67726,1028,63310,1021,4416,7
8/13/2020,Wyoming,56,3119,29,2627,,492,
