date,state,tweets
7/25/2020,AB,5
7/25/2020,AK,2
7/25/2020,AL,11
7/25/2020,AR,3
7/25/2020,AZ,18
7/25/2020,BC,18
7/25/2020,CA,221
7/25/2020,CO,33
7/25/2020,CT,19
7/25/2020,DC,52
7/25/2020,DE,4
7/25/2020,FL,110
7/25/2020,GA,83
7/25/2020,HI,2
7/25/2020,IA,9
7/25/2020,ID,1
7/25/2020,IL,58
7/25/2020,IN,19
7/25/2020,KS,13
7/25/2020,KY,9
7/25/2020,LA,11
7/25/2020,MA,51
7/25/2020,MD,26
7/25/2020,ME,3
7/25/2020,MI,27
7/25/2020,MN,17
7/25/2020,MO,21
7/25/2020,MS,4
7/25/2020,NC,45
7/25/2020,ND,2
7/25/2020,NE,6
7/25/2020,NH,11
7/25/2020,NJ,27
7/25/2020,NL,2
7/25/2020,NM,7
7/25/2020,NV,15
7/25/2020,NY,123
7/25/2020,OH,36
7/25/2020,OK,9
7/25/2020,ON,1
7/25/2020,OR,14
7/25/2020,PA,28
7/25/2020,PH,1
7/25/2020,PR,1
7/25/2020,QC,1
7/25/2020,RI,8
7/25/2020,SA,1
7/25/2020,SC,8
7/25/2020,SD,2
7/25/2020,SK,1
7/25/2020,TN,28
7/25/2020,TX,119
7/25/2020,UK,82
7/25/2020,US,2
7/25/2020,UT,7
7/25/2020,VA,22
7/25/2020,VI,1
7/25/2020,VT,4
7/25/2020,WA,51
7/25/2020,WI,17
7/25/2020,WV,3
7/26/2020,AB,2
7/26/2020,AL,2
7/26/2020,AZ,5
7/26/2020,BC,7
7/26/2020,CA,92
7/26/2020,CO,9
7/26/2020,CT,3
7/26/2020,DC,15
7/26/2020,DE,4
7/26/2020,FL,26
7/26/2020,GA,22
7/26/2020,GB,1
7/26/2020,HI,6
7/26/2020,IA,2
7/26/2020,ID,1
7/26/2020,IL,21
7/26/2020,IN,8
7/26/2020,KS,1
7/26/2020,KY,6
7/26/2020,LA,2
7/26/2020,MA,24
7/26/2020,MD,7
7/26/2020,ME,3
7/26/2020,MI,5
7/26/2020,MN,3
7/26/2020,MO,3
7/26/2020,MS,1
7/26/2020,NC,13
7/26/2020,ND,1
7/26/2020,NE,3
7/26/2020,NH,1
7/26/2020,NJ,19
7/26/2020,NV,2
7/26/2020,NY,66
7/26/2020,OH,13
7/26/2020,OK,5
7/26/2020,OR,7
7/26/2020,PA,8
7/26/2020,RI,2
7/26/2020,SC,6
7/26/2020,TN,6
7/26/2020,TX,56
7/26/2020,UK,32
7/26/2020,UT,5
7/26/2020,VA,5
7/26/2020,WA,12
7/26/2020,WI,4
7/26/2020,WV,1
7/26/2020,WY,4
7/27/2020,AK,2
7/27/2020,AL,2
7/27/2020,AR,3
7/27/2020,AU,1
7/27/2020,AZ,8
7/27/2020,BC,2
7/27/2020,CA,96
7/27/2020,CO,14
7/27/2020,CT,3
7/27/2020,DC,21
7/27/2020,FL,34
7/27/2020,GA,17
7/27/2020,HI,5
7/27/2020,IA,2
7/27/2020,IL,20
7/27/2020,IN,7
7/27/2020,KS,1
7/27/2020,KY,3
7/27/2020,LA,9
7/27/2020,MA,16
7/27/2020,MD,10
7/27/2020,ME,2
7/27/2020,MI,16
7/27/2020,MN,13
7/27/2020,MO,16
7/27/2020,MS,1
7/27/2020,NC,12
7/27/2020,ND,1
7/27/2020,NE,2
7/27/2020,NH,8
7/27/2020,NJ,14
7/27/2020,NM,7
7/27/2020,NV,11
7/27/2020,NY,80
7/27/2020,OH,19
7/27/2020,OK,3
7/27/2020,OR,20
7/27/2020,PA,24
7/27/2020,PH,1
7/27/2020,PQ,1
7/27/2020,RI,3
7/27/2020,SC,9
7/27/2020,SD,1
7/27/2020,TN,14
7/27/2020,TX,52
7/27/2020,UK,17
7/27/2020,UT,1
7/27/2020,VA,8
7/27/2020,WA,26
7/27/2020,WI,2
7/27/2020,WV,3
7/27/2020,WY,1
7/28/2020,AK,4
7/28/2020,AL,6
7/28/2020,AR,7
7/28/2020,AZ,21
7/28/2020,BC,6
7/28/2020,CA,183
7/28/2020,CO,11
7/28/2020,CT,13
7/28/2020,DC,21
7/28/2020,FL,42
7/28/2020,GA,23
7/28/2020,HI,4
7/28/2020,IA,3
7/28/2020,ID,3
7/28/2020,IL,21
7/28/2020,IN,1
7/28/2020,KS,3
7/28/2020,KY,7
7/28/2020,LA,7
7/28/2020,MA,13
7/28/2020,MD,12
7/28/2020,MI,15
7/28/2020,MN,12
7/28/2020,MO,15
7/28/2020,MS,1
7/28/2020,MX,1
7/28/2020,NC,12
7/28/2020,ND,1
7/28/2020,NE,1
7/28/2020,NH,3
7/28/2020,NJ,7
7/28/2020,NM,1
7/28/2020,NV,11
7/28/2020,NY,74
7/28/2020,OH,13
7/28/2020,OK,6
7/28/2020,ON,2
7/28/2020,OR,23
7/28/2020,PA,9
7/28/2020,PR,1
7/28/2020,SC,4
7/28/2020,TN,14
7/28/2020,TX,64
7/28/2020,UK,18
7/28/2020,US,2
7/28/2020,UT,5
7/28/2020,VA,8
7/28/2020,WA,16
7/28/2020,WI,3
7/28/2020,WV,2
7/28/2020,WY,1
7/29/2020,AK,1
7/29/2020,AL,12
7/29/2020,AZ,10
7/29/2020,BC,2
7/29/2020,CA,57
7/29/2020,CO,9
7/29/2020,CT,7
7/29/2020,DC,44
7/29/2020,FL,26
7/29/2020,GA,17
7/29/2020,IA,3
7/29/2020,ID,2
7/29/2020,IE,1
7/29/2020,IL,18
7/29/2020,IN,6
7/29/2020,KS,2
7/29/2020,KY,3
7/29/2020,LA,9
7/29/2020,MA,31
7/29/2020,MD,10
7/29/2020,ME,1
7/29/2020,MI,8
7/29/2020,MN,14
7/29/2020,MO,5
7/29/2020,MS,1
7/29/2020,MT,1
7/29/2020,NB,1
7/29/2020,NC,12
7/29/2020,NE,3
7/29/2020,NH,1
7/29/2020,NJ,14
7/29/2020,NM,2
7/29/2020,NV,3
7/29/2020,NY,46
7/29/2020,OH,10
7/29/2020,OK,5
7/29/2020,ON,4
7/29/2020,OR,5
7/29/2020,PA,20
7/29/2020,SA,1
7/29/2020,SC,5
7/29/2020,SK,1
7/29/2020,TN,9
7/29/2020,TX,34
7/29/2020,UK,12
7/29/2020,US,1
7/29/2020,UT,2
7/29/2020,VA,10
7/29/2020,WA,8
7/29/2020,WB,1
7/29/2020,WI,11
7/29/2020,WV,1
7/30/2020,AK,2
7/30/2020,AL,2
7/30/2020,AR,1
7/30/2020,AZ,5
7/30/2020,BC,2
7/30/2020,CA,44
7/30/2020,CO,6
7/30/2020,CT,6
7/30/2020,DC,34
7/30/2020,FL,22
7/30/2020,GA,12
7/30/2020,HI,2
7/30/2020,IL,21
7/30/2020,IN,2
7/30/2020,KS,2
7/30/2020,KY,6
7/30/2020,LA,3
7/30/2020,MA,16
7/30/2020,MD,8
7/30/2020,MI,6
7/30/2020,MN,7
7/30/2020,MO,5
7/30/2020,MS,3
7/30/2020,MT,2
7/30/2020,NC,11
7/30/2020,NE,3
7/30/2020,NJ,7
7/30/2020,NM,2
7/30/2020,NV,2
7/30/2020,NY,43
7/30/2020,OH,3
7/30/2020,OK,2
7/30/2020,ON,3
7/30/2020,OR,2
7/30/2020,PA,14
7/30/2020,RI,1
7/30/2020,SC,12
7/30/2020,TN,8
7/30/2020,TX,33
7/30/2020,UK,3
7/30/2020,US,3
7/30/2020,UT,1
7/30/2020,VA,7
7/30/2020,VT,1
7/30/2020,WA,8
7/30/2020,WI,4
7/30/2020,WY,1
7/31/2020,AK,3
7/31/2020,AL,4
7/31/2020,AR,17
7/31/2020,AZ,20
7/31/2020,BC,11
7/31/2020,CA,247
7/31/2020,CO,17
7/31/2020,CT,15
7/31/2020,DC,115
7/31/2020,FL,67
7/31/2020,GA,52
7/31/2020,HI,6
7/31/2020,IA,6
7/31/2020,ID,2
7/31/2020,IL,52
7/31/2020,IN,16
7/31/2020,KS,8
7/31/2020,KY,8
7/31/2020,LA,13
7/31/2020,MA,62
7/31/2020,MB,1
7/31/2020,MD,25
7/31/2020,ME,6
7/31/2020,MI,19
7/31/2020,MN,22
7/31/2020,MO,29
7/31/2020,MS,1
7/31/2020,NB,1
7/31/2020,NC,39
7/31/2020,NE,6
