,date,cases,deaths
1,7/25/2020,66776,146312
2,7/26/2020,54217,146752
3,7/27/2020,59181,148448
4,7/28/2020,63110,149775
5,7/29/2020,66615,151170
6,7/30/2020,69111,152431
7,7/31/2020,67736,153858
8,8/1/2020,58144,154915
9,8/2/2020,49325,155333
10,8/3/2020,47417,155941
11,8/4/2020,53393,157296
12,8/5/2020,53721,158548
13,8/6/2020,57511,159623
14,8/7/2020,60983,160977
15,8/8/2020,55197,161942
16,8/9/2020,48358,162481
17,8/10/2020,47125,163018
18,8/11/2020,53315,164468
19,8/12/2020,54187,165946
20,8/13/2020,53213,167133
