,date,state,cases,deaths
0,7/25/2020,AL,78130,1456
1,7/25/2020,AK,2866,18
2,7/25/2020,AZ,160055,3288
3,7/25/2020,AR,37981,399
4,7/25/2020,CA,453327,8428
5,7/25/2020,CO,43847,1795
6,7/25/2020,CT,48776,4413
7,7/25/2020,DE,14175,579
8,7/25/2020,DC,11717,581
9,7/25/2020,FL,414503,5776
10,7/25/2020,GA,151262,3421
11,7/25/2020,GU,1306,6
12,7/25/2020,HI,1597,25
13,7/25/2020,ID,17920,150
14,7/25/2020,IL,171669,7593
15,7/25/2020,IN,63030,2895
16,7/25/2020,IA,41886,826
17,7/25/2020,KS,25464,333
18,7/25/2020,KY,27395,717
19,7/25/2020,LA,103846,3715
20,7/25/2020,ME,3790,119
21,7/25/2020,MD,83617,3433
22,7/25/2020,MA,115268,8510
23,7/25/2020,MI,85665,6402
24,7/25/2020,MN,50331,1611
25,7/25/2020,MS,51097,1480
26,7/25/2020,MO,42310,1224
27,7/25/2020,MT,3260,46
28,7/25/2020,NE,24412,322
29,7/25/2020,NV,41993,733
30,7/25/2020,NH,6415,409
31,7/25/2020,NJ,180778,15776
32,7/25/2020,NM,18788,607
33,7/25/2020,NY,415911,32295
34,7/25/2020,NC,111282,1801
35,7/25/2020,ND,5740,103
36,7/25/2020,MP,40,2
37,7/25/2020,OH,83184,3297
38,7/25/2020,OK,30081,496
39,7/25/2020,OR,16492,286
40,7/25/2020,PA,111121,7167
41,7/25/2020,PR,14540,201
42,7/25/2020,RI,18224,1002
43,7/25/2020,SC,80008,1465
44,7/25/2020,SD,8305,122
45,7/25/2020,TN,88459,953
46,7/25/2020,TX,391609,5002
47,7/25/2020,UT,37623,278
48,7/25/2020,VT,1396,56
49,7/25/2020,VI,352,7
50,7/25/2020,VA,83460,2073
51,7/25/2020,WA,53884,1592
52,7/25/2020,WV,5821,103
53,7/25/2020,WI,51735,900
54,7/25/2020,WY,2446,25
55,7/26/2020,AL,79294,1473
56,7/26/2020,AK,3100,18
57,7/26/2020,AZ,162041,3313
58,7/26/2020,AR,38623,401
59,7/26/2020,CA,459338,8451
60,7/26/2020,CO,44364,1795
61,7/26/2020,CT,48776,4413
62,7/26/2020,DE,14290,579
63,7/26/2020,DC,11780,581
64,7/26/2020,FL,423847,5853
65,7/26/2020,GA,153476,3424
66,7/26/2020,GU,1306,6
67,7/26/2020,HI,1660,25
68,7/26/2020,ID,18262,150
69,7/26/2020,IL,173079,7595
70,7/26/2020,IN,63881,2903
71,7/26/2020,IA,42357,829
72,7/26/2020,KS,25649,335
73,7/26/2020,KY,27682,718
74,7/26/2020,LA,107686,3763
75,7/26/2020,ME,3814,119
76,7/26/2020,MD,84306,3440
77,7/26/2020,MA,115637,8529
78,7/26/2020,MI,86750,6402
79,7/26/2020,MN,51193,1614
80,7/26/2020,MS,52304,1495
81,7/26/2020,MO,43477,1231
82,7/26/2020,MT,3342,46
83,7/26/2020,NE,24618,322
84,7/26/2020,NV,42919,734
85,7/26/2020,NH,6436,409
86,7/26/2020,NJ,181283,15787
87,7/26/2020,NM,19053,614
88,7/26/2020,NY,416443,32305
89,7/26/2020,NC,112802,1807
90,7/26/2020,ND,5880,103
91,7/26/2020,MP,40,2
92,7/26/2020,OH,84073,3307
93,7/26/2020,OK,31285,496
94,7/26/2020,OR,16764,291
95,7/26/2020,PA,111773,7170
96,7/26/2020,PR,15143,201
97,7/26/2020,RI,18224,1002
98,7/26/2020,SC,81199,1491
99,7/26/2020,SD,8395,123
100,7/26/2020,TN,91330,955
101,7/26/2020,TX,395738,5090
102,7/26/2020,UT,37973,278
103,7/26/2020,VT,1400,56
104,7/26/2020,VI,361,7
105,7/26/2020,VA,84418,2076
106,7/26/2020,WA,54422,1596
107,7/26/2020,WV,5960,103
108,7/26/2020,WI,52685,901
109,7/26/2020,WY,2475,25
110,7/27/2020,AL,81115,1491
111,7/27/2020,AK,3204,19
112,7/27/2020,AZ,163918,3320
113,7/27/2020,AR,39447,408
114,7/27/2020,CA,467103,8544
115,7/27/2020,CO,44723,1800
116,7/27/2020,CT,48983,4418
117,7/27/2020,DE,14406,579
118,7/27/2020,DC,11858,582
119,7/27/2020,FL,432739,5930
120,7/27/2020,GA,155907,3435
121,7/27/2020,GU,1315,6
122,7/27/2020,HI,1688,25
123,7/27/2020,ID,18836,159
124,7/27/2020,IL,174442,7619
125,7/27/2020,IN,64417,2906
126,7/27/2020,IA,42696,836
127,7/27/2020,KS,26439,338
128,7/27/2020,KY,28250,726
129,7/27/2020,LA,110029,3786
130,7/27/2020,ME,3832,119
131,7/27/2020,MD,85436,3447
132,7/27/2020,MA,115926,8536
133,7/27/2020,MI,87329,6407
134,7/27/2020,MN,51843,1616
135,7/27/2020,MS,52957,1501
136,7/27/2020,MO,44813,1245
137,7/27/2020,MT,3406,47
138,7/27/2020,NE,24899,322
139,7/27/2020,NV,43880,739
140,7/27/2020,NH,6441,409
141,7/27/2020,NJ,181732,15804
142,7/27/2020,NM,19502,619
143,7/27/2020,NY,417056,32322
144,7/27/2020,NC,114612,1815
145,7/27/2020,ND,5990,103
146,7/27/2020,MP,40,2
147,7/27/2020,OH,85177,3344
148,7/27/2020,OK,32529,495
149,7/27/2020,OR,17122,289
150,7/27/2020,PA,112995,7174
151,7/27/2020,PR,15431,201
152,7/27/2020,RI,18515,1004
153,7/27/2020,SC,82417,1506
154,7/27/2020,SD,8444,123
155,7/27/2020,TN,93869,965
156,7/27/2020,TX,402295,6292
157,7/27/2020,UT,38439,285
158,7/27/2020,VT,1402,56
159,7/27/2020,VI,375,7
160,7/27/2020,VA,85923,2080
161,7/27/2020,WA,55548,1611
162,7/27/2020,WV,6054,106
163,7/27/2020,WI,53323,905
164,7/27/2020,WY,2520,25
165,7/28/2020,AL,82366,1491
166,7/28/2020,AK,3348,20
167,7/28/2020,AZ,165994,3424
168,7/28/2020,AR,40181,428
169,7/28/2020,CA,474951,8716
170,7/28/2020,CO,45420,1809
171,7/28/2020,CT,49077,4423
172,7/28/2020,DE,14476,580
173,7/28/2020,DC,11945,583
174,7/28/2020,FL,441969,6116
175,7/28/2020,GA,160038,3488
176,7/28/2020,GU,1318,6
177,7/28/2020,HI,1734,25
178,7/28/2020,ID,19318,168
179,7/28/2020,IL,175588,7645
180,7/28/2020,IN,65258,2924
181,7/28/2020,IA,42928,839
182,7/28/2020,KS,26494,344
183,7/28/2020,KY,28876,735
184,7/28/2020,LA,111150,3812
185,7/28/2020,ME,3838,121
186,7/28/2020,MD,86091,3458
187,7/28/2020,MA,116182,8551
188,7/28/2020,MI,88025,6426
189,7/28/2020,MN,52321,1620
190,7/28/2020,MS,54299,1543
191,7/28/2020,MO,46225,1263
192,7/28/2020,MT,3491,52
193,7/28/2020,NE,25140,326
194,7/28/2020,NV,44991,760
195,7/28/2020,NH,6500,409
196,7/28/2020,NJ,182215,15825
197,7/28/2020,NM,19791,626
198,7/28/2020,NY,417591,32333
199,7/28/2020,NC,116300,1847
200,7/28/2020,ND,6145,104
201,7/28/2020,MP,40,2
202,7/28/2020,OH,86497,3382
203,7/28/2020,OK,33757,509
204,7/28/2020,OR,17419,305
205,7/28/2020,PA,114129,7197
206,7/28/2020,PR,15840,209
207,7/28/2020,RI,18725,1005
208,7/28/2020,SC,84109,1565
209,7/28/2020,SD,8492,123
210,7/28/2020,TN,96318,988
211,7/28/2020,TX,412849,6518
212,7/28/2020,UT,38877,290
213,7/28/2020,VT,1405,56
214,7/28/2020,VI,375,7
215,7/28/2020,VA,86839,2093
216,7/28/2020,WA,56576,1633
217,7/28/2020,WV,6173,111
218,7/28/2020,WI,54114,916
219,7/28/2020,WY,2589,26
220,7/29/2020,AL,83782,1538
221,7/29/2020,AK,3440,20
222,7/29/2020,AZ,168361,3470
223,7/29/2020,AR,40968,434
224,7/29/2020,CA,486039,8884
225,7/29/2020,CO,45885,1826
226,7/29/2020,CT,49540,4425
227,7/29/2020,DE,14602,581
228,7/29/2020,DC,11999,584
229,7/29/2020,FL,451415,6332
