state,tested,positive,deaths
AK,245807,1693,25
AL,655973,100801,1814
AR,578788,51114,573
AZ,1284786,189443,4347
CA,9303467,586056,10648
CO,602296,51756,1598
CT,917282,50706,4450
DC,226741,12959,593
DE,203453,15765,592
FL,4093972,550901,8765
GA,1916742,226153,4456
HI,189492,3958,38
IA,532072,49855,953
ID,62642,26133,246
IL,3189801,198593,7672
IN,866994,76522,2878
KS,334563,32547,395
KY,717370,34415,790
LA,1598609,134304,4238
MA,1353299,113198,8547
MD,1078838,97384,3612
ME,103061,4070,126
MI,2208812,98689,6539
MN,1188288,62303,1678
MO,798581,62530,1323
MS,524118,69374,1989
MT,196036,5268,80
NC,1904750,139061,2249
ND,148366,7970,120
NE,309938,29244,356
NH,91917,6887,420
NJ,2324046,185031,14025
NM,627627,22315,685
NV,717306,58048,996
NY,6728481,422703,25218
OH,509699,104248,3734
OK,518134,45398,627
OR,461395,22022,375
PA,1389715,117739,7385
PR,24074,24074,295
RI,411727,20129,1018
SC,799258,102974,2144
SD,123628,9815,147
TN,1757690,126393,1289
TX,4106360,506820,9034
UT,642368,45090,351
VA,1283409,102521,2352
VT,105073,1478,58
WA,1014809,64702,1724
WI,1085986,62263,1011
WV,335075,8008,153
WY,86425,2600,29
